subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.9897142323737768	0.00293451813292267	0.7917713858990214	0.08546426498289245	0.024609231286317493	0.8	0.0	186886	186745	0.9896609221397582	0.10597750713279623	1.0	1.1247419156134129	2	1	1	0	1	1.0	0.5	0.6666666666666666	0.7263476909065214	0.0	0.4842317939376809	1.8087328331169235	0.0	7.756287771866127	0.0	33856	29844	0.7261852433281004	2.2542030529093484	9.695359714832659	0.2604828644543886	1	1	1	0	0	1.0	1.0	1.0	0.7275191014170966	0.0	0.7275191014170966	1.7908866777801091	0.0	7.589466384404111	0.0	31425	29827	0.7275191014170966	2.2386083472251364	9.486832980505138	0.26846365723758936
case_00492	2	2	2	0	0	1.0	1.0	1.0	0.9789881175912281	0.0011396025140956723	0.9789881175912281	0.18178674198317832	0.03169312461234594	0.9656854249492381	0.1656854249492381	216315	216547	0.9787183906187191	0.23284603612492566	1.0	1.1831838991492987	5	8	5	3	0	0.625	1.0	0.7692307692307693	0.800267452798112	0.150131533522888	0.61559034830624	0.31613185667503335	0.28631761713766907	1.44	0.9329523031752481	37897	40617	0.8531472094148814	0.9238469185147407	3.7416573867739413	0.6688890848308802	1	1	1	0	0	1.0	1.0	1.0	0.18035023879918127	0.0	0.18035023879918127	5.520037333072881	0.0	25.322242902664975	0.0	4179	39791	0.18035023879918127	6.900046666341099	31.652803628331213	0.6322777392342687
case_00493	4	2	2	0	2	1.0	0.5	0.6666666666666666	0.9829089502396711	0.0014336253233646068	0.655272633493114	0.14277561857990143	0.005828765349815163	0.8	0.0	272947	273916	0.9829957411636918	0.1782360712304248	1.0	2.090592397376895	1	6	1	5	0	0.16666666666666666	1.0	0.2857142857142857	0.8769170579029734	0.0	0.25054773082942094	0.8787091126755427	0.0	5.6000000000000005	0.0	11895	14185	0.8594325153374233	18.270864213044486	207.04044528933457	0.9334840783849359	1	1	1	0	0	1.0	1.0	1.0	0.876985679630644	0.0	0.876985679630644	0.8782378139605636	0.0	5.6000000000000005	0.0	11373	14185	0.876985679630644	1.0977972674507044	7.0	0.6786101683974266
case_00494	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9854903890295545	0.0013522424441506087	0.5631373651597454	0.10457283792249442	0.007803342160139781	0.8	0.0	127095	125918	0.9854750546414611	0.130755083533305	1.0	0.9903673864901066	5	8	4	4	1	0.5	0.8	0.6153846153846154	0.8613569668313509	0.07148919332975161	0.5300658257423698	0.4677325284477979	0.41604517393835616	3.3928480087537887	4.490944487465355	22651	19792	0.8890511980774215	2.0274811289964934	19.339079605813716	0.6923092855140567	1	1	1	0	0	1.0	1.0	1.0	0.8723865267186313	0.0	0.8723865267186313	7.639678358867848	0.0	119.66780639226151	0.0	19147	16390	0.8723865267186313	9.549597948584811	149.5847579903269	0.8215118329972029
case_00495	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9802132815645571	0.0009846990603575856	0.6534755210430381	0.1462514509569945	0.013799772283210443	0.8	0.0	165425	168415	0.9756230529595016	1.0151637998091918	1.0	1.2599316500127316	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.8548847626650831	0.09075220905884523	0.5699231751100553	0.3033178792910496	0.021423783967235904	0.8	0.0	16487	16926	0.94256726423847	0.3648273619700817	1.0	0.2788699949160218	1	1	1	0	0	1.0	1.0	1.0	0.9365564396575198	0.0	0.9365564396575198	1.3720384271405166	0.0	1.1313708498984762	0.0	16328	16725	0.9365564396575198	1.7150480339256453	1.4142135623730951	0.31795976776629686
case_00496	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9729706441143546	0.00020998900571161938	0.7783765152914838	0.1884611187322518	0.017630194957435022	0.8	0.0	161575	163763	0.9729204704030885	0.23740527950841053	1.0	0.8606235226616263	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.8743773549761544	0.029808691535473553	0.6995018839809236	0.4474954243375423	0.3131841460348287	1.6	0.8000000000000003	26578	22695	0.8415156373673208	0.9799936992546754	3.0	0.2680213199928403	1	1	1	0	0	1.0	1.0	1.0	0.8355131304365793	0.0	0.8355131304365793	5.45568776904789	0.0	2.4000000000000004	0.0	26450	21949	0.8355131304365793	6.819609711309864	3.0	0.3255357928574085
case_00497	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.984933824807265	0.002635994905365424	0.787947059845812	0.11082573628940638	0.016369823842849088	0.8	0.0	219821	219873	0.9850668874262555	0.13860352253153269	1.0	0.9947321508079767	1	1	1	0	0	1.0	1.0	1.0	0.8056153294394918	0.0	0.8056153294394918	0.7574956757267666	0.0	4.156921938165306	0.0	5036	4723	0.8056153294394918	0.946869594658458	5.196152422706632	0.11929607298225164	1	1	1	0	0	1.0	1.0	1.0	0.8461371055495104	0.0	0.8461371055495104	0.39522623951095687	0.0	1.6	0.0	4467	4723	0.8461371055495104	0.49403279938869604	2.0	0.1389996726065874
case_00498	2	2	2	0	0	1.0	1.0	1.0	0.9785529985296804	0.00225621544085286	0.9785529985296804	0.16046234715960894	0.03728362629670305	0.8	0.0	143508	145413	0.9783850948875298	0.1985494531046016	1.0	0.8792114723473787	1	1	1	0	0	1.0	1.0	1.0	0.6940135585430312	0.0	0.6940135585430312	1.4368584266504907	0.0	8.763560920082659	0.0	3093	5610	0.6940135585430312	1.7960730333131134	10.954451150103322	0.3309653587639332	1	1	1	0	0	1.0	1.0	1.0	0.6931125675520294	0.0	0.6931125675520294	1.4390194350453376	0.0	8.763560920082659	0.0	3087	5610	0.6931125675520294	1.7987742938066718	10.954451150103322	0.36535056587308645
case_00499	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.972797184471053	0.0051993585524107155	0.7782377475768425	0.17564856088529346	0.039171264889060045	0.8	0.0	228388	231262	0.9721483737626455	0.22375673356882456	1.0	1.2901954837143421	18	18	15	3	3	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8753225790281823	0.08483001897934193	0.7294354825234853	0.4965079550661863	0.7449350909072917	3.0251021109755025	4.649348707688676	69293	78573	0.8960951131429808	0.42186316360566645	2.23606797749979	1.0048793014138937	1	1	1	0	0	1.0	1.0	1.0	0.6024902005994928	0.0	0.6024902005994928	12.653339781751985	0.0	63.92996167682255	0.0	45921	23471	0.6024902005994928	15.816674727189977	79.91245209602819	1.0766940247267485
case_00500	7	2	2	0	5	1.0	0.2857142857142857	0.4444444444444444	0.9805002250625889	0.0016510572142420799	0.43577787780559507	0.2106976918581609	0.033132669648512164	0.8	0.0	256261	261832	0.980422433810146	0.2627704881974455	1.0	1.7785266246646643	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.8950905902980713	0.0	0.5967270601987141	0.39906448756196405	0.0	1.1313708498984762	0.0	3784	3087	0.8915732789986901	1.04587938596335	1.4142135623730951	0.5855781883001328	1	1	1	0	0	1.0	1.0	1.0	0.8979891384118597	0.0	0.8979891384118597	0.38777704549786496	0.0	1.1313708498984762	0.0	3726	3087	0.8979891384118597	0.48472130687233117	1.4142135623730951	0.6937262983992696
