subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.9717853825385927	0.0012248483450018055	0.6478569216923951	0.44235227939689137	0.025293732233709815	1.1942562584220409	0.08574374157795928	1825503	1848086	0.9717521475592398	0.6903867234106504	2.0	9.633815041743219	2	1	1	0	1	1.0	0.5	0.6666666666666666	0.7151622061843723	0.0	0.47677480412291484	4.1742196008748245	0.0	13.51597573244344	0.0	325794	295670	0.7151693420696935	6.235756905479276	20.639767440550294	3.18672008626163	1	1	1	0	0	1.0	1.0	1.0	0.7172008784267279	0.0	0.7172008784267279	4.122034609552729	0.0	13.440000000000001	0.0	312391	295514	0.7172008784267279	6.4406790774261395	21.0	3.4690911462530494
case_00492	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.9606896292025248	0.0006310177618118473	0.6404597528016831	0.7661344600402331	0.12061127024061519	2.505096679918781	0.6949033200812192	2698796	2741997	0.9598325097095222	2.6157791926166603	4.123105625617661	23.47894361615181	5	12	5	7	0	0.4166666666666667	1.0	0.5882352941176471	0.7109142016104684	0.16861021722999617	0.4181848244767461	1.1669421200349486	0.653619321462935	3.454810212469065	2.764627713783441	471093	510854	0.8284153829076315	3.906959556800352	13.038404810405298	8.036167322658002	1	1	1	0	0	1.0	1.0	1.0	0.13535396088082804	0.0	0.13535396088082804	10.074296170812962	0.0	28.02951569081032	0.0	41142	500076	0.13535396088082804	15.741087766895255	43.79611826689113	8.099727163091302
case_00493	4	2	2	0	2	1.0	0.5	0.6666666666666666	0.96939952134386	0.0012448402041042028	0.6462663475625733	0.31383697857055476	0.0009435498269921294	0.64	0.0	772388	787894	0.9694811578932526	0.4891325288351699	1.0	4.487619790248573	1	6	1	5	0	0.16666666666666666	1.0	0.2857142857142857	0.8809668162159977	0.0	0.2517048046331422	0.9943012872192989	0.0	4.91593327863591	0.0	36161	40388	0.8541979647023475	23.9178577728296	230.78691447278717	1.9917242350056767	1	1	1	0	0	1.0	1.0	1.0	0.8806760745622902	0.0	0.8806760745622902	0.996821853687667	0.0	4.91593327863591	0.0	33805	40388	0.8806760745622902	1.5575341463869796	7.681145747868608	1.3931405059993267
case_00494	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9643037004396693	0.0002480313385342936	0.5510306859655253	0.5896279176153828	0.020738514072155212	1.6889333976093979	0.12125996222816382	2279572	2290878	0.964275290179304	0.9210090943354683	2.8284271247461903	16.175864282995462	5	10	4	6	1	0.4	0.8	0.5333333333333333	0.8234921436151796	0.08857504188855006	0.4391958099280958	1.211866125087408	0.637203411586873	5.243070912302313	5.155328060227534	399949	358781	0.8660841142435386	5.932568002751872	33.28137540195101	12.061524368822575	1	1	1	0	0	1.0	1.0	1.0	0.8603014658886422	0.0	0.8603014658886422	10.846032357310092	0.0	65.84228428601183	0.0	330176	297225	0.8603014658886422	16.946925558297014	102.87856919689348	14.183200610801578
case_00495	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9622266743965964	0.00034623694765939517	0.6414844495977309	0.6234689719028715	0.027541986044086086	1.6889333976093979	0.12125996222816382	2657775	2750389	0.9590197338690173	2.31255310633573	3.0	19.56960838381201	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.8206612159669214	0.10743237584152954	0.547107477311281	0.9803559864754882	0.008798510559144268	2.8240692422640405	0.10877920250769768	264004	276177	0.9204766550471046	5.863073050252324	5.477225575051661	11.959236619062722	1	1	1	0	0	1.0	1.0	1.0	0.918643972217784	0.0	0.918643972217784	5.3987743983244645	0.0	4.097999511957023	0.0	259146	272849	0.918643972217784	8.435584997381973	6.4031242374328485	13.790398531593382
case_00496	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9537753028421901	0.0033692934811822006	0.7630202422737522	0.6644467909455469	0.0178180322736054	1.8101933598375617	0.0	1713996	1757905	0.9542697214004662	1.0374028934165396	2.8284271247461903	8.543576401658356	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.8390059103052545	0.019843689848903	0.6712047282442036	1.5599230714470669	0.9891193246555773	5.9561131241475245	4.525029618547659	271667	243521	0.8156750545431959	4.4422286114778995	20.0	3.3922445327043533	1	1	1	0	0	1.0	1.0	1.0	0.8112413698885089	0.0	0.8112413698885089	7.256252854353841	0.0	13.44	0.0	269255	235808	0.8112413698885089	11.337895084927876	21.0	4.214618073776364
case_00497	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9697918574877471	0.0013860740596743362	0.7758334859901977	0.540920717623744	0.02457444619948651	1.3555417527999327	0.0755417527999327	1423389	1439183	0.969861369425817	0.8435497084276502	2.23606797749979	5.343572077341378	1	1	1	0	0	1.0	1.0	1.0	0.7879542211833278	0.0	0.7879542211833278	1.5981264074447163	0.0	6.037747924516227	0.0	35102	30780	0.7879542211833278	2.497072511632369	9.433981132056603	0.7121643079444766	1	1	1	0	0	1.0	1.0	1.0	0.8295255408703057	0.0	0.8295255408703057	1.2393122303670734	0.0	4.48	0.0	30279	30780	0.8295255408703057	1.9364253599485524	7.0	0.9204229013994336
case_00498	2	2	2	0	0	1.0	1.0	1.0	0.9591010892939327	0.0016028619611224149	0.9591010892939327	0.8041549122807387	0.023663059420438226	2.4773303637676616	0.0826696362323387	1878510	1957092	0.9592199607779952	1.2577176903828924	3.7416573867739413	10.411133224144578	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.7134567871427767	0.0	0.47563785809518444	2.687728628280292	0.0	10.898807274192897	0.0	48217	76116	0.7142432017244014	3.9680723104103226	16.24807680927192	4.983536393381655	1	1	1	0	0	1.0	1.0	1.0	0.7050013806994461	0.0	0.7050013806994461	2.6432325633730387	0.0	10.670932480341163	0.0	47010	76116	0.7050013806994461	4.130050880270373	16.673332000533065	5.651928868144751
case_00499	3	6	2	4	1	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.9523933277911026	0.004267493610089268	0.42328592346271227	0.7739690789045766	0.11635458194879794	2.391083505599865	0.47108350559986545	3625156	3745410	0.9517179549033277	1.2555763552170318	3.605551275463989	23.554711738601327	18	18	16	2	2	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8548466768831259	0.059908266111398004	0.7598637127850008	1.0714915022714089	0.7381051660771191	3.980018282041609	3.810650138049223	1099119	1271922	0.8569569231405109	2.2625266564255098	9.055385138137417	18.31344912480563	1	1	1	0	0	1.0	1.0	1.0	0.5679112990955747	0.0	0.5679112990955747	24.99893365601482	0.0	104.919016388832	0.0	753123	380304	0.5679112990955747	39.060833837523155	163.93596310755	22.89728364162147
case_00500	7	16	2	14	5	0.125	0.2857142857142857	0.17391304347826086	0.7964193726181001	0.06294422126281612	0.13850771697706088	2.7391873241225446	0.9803178346028062	11.16784861446593	3.6768406716053694	1923801	2855603	0.7974534063243032	4.217867193484046	16.911534525287763	19.62773393560201	1	9	1	8	0	0.1111111111111111	1.0	0.2	0.8041091651711121	0.0	0.16082183303422243	1.5772527217661692	0.0	4.659270329139532	0.0	88197	33316	0.5346588430867479	54.64446078834604	197.74579619824405	8.214915688149631	1	1	1	0	0	1.0	1.0	1.0	0.5775285898633916	0.0	0.5775285898633916	32.79795952567236	0.0	125.44212242135576	0.0	79049	33316	0.5775285898633916	51.246811758863075	196.00331628336838	9.332200105302036
