subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	2	2	0	0	1.0	1.0	1.0	0.9685488162013094	0.005104718443712242	0.9685488162013094	0.5478709998372079	0.08919657658285896	1.59	0.53	401580	406589	0.9684509056892804	0.5167845881202404	1.4142135623730951	1.7979568550363183	2	1	1	0	1	1.0	0.5	0.6666666666666666	0.7027542441130046	0.0	0.4685028294086697	4.716323594027182	0.0	13.942123224243861	0.0	90490	64761	0.7028875820445601	4.25403412778672	12.529964086141668	0.4593804646283388	1	1	1	0	0	1.0	1.0	1.0	0.7012537998877973	0.0	0.7012537998877973	4.71651430220512	0.0	13.800354549514807	0.0	88569	64725	0.7012537998877973	4.449541794533132	13.019202405202648	0.5229163868352771
case_00492	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9646835734745012	0.0007679333452734194	0.771746858779601	0.7627969671524409	0.12466145298336218	2.5079869280115052	0.672013071988495	606278	603730	0.9645010611500089	0.7334089605794853	2.23606797749979	2.1746537052094936	5	8	5	3	0	0.625	1.0	0.7692307692307693	0.6889559695209151	0.2064728082142994	0.529966130400704	1.2913367434365797	0.6255708476559255	3.550536879339282	2.5040303249864357	113384	113722	0.8521219166380457	2.0712188126310145	7.0	1.1632564030587673	1	1	1	0	0	1.0	1.0	1.0	0.4091836381867847	0.0	0.4091836381867847	3.7637898429697216	0.0	11.708082678218497	0.0	33094	111511	0.4091836381867847	3.5507451348770958	11.045361017187261	1.4025607109069824
case_00493	4	2	2	0	2	1.0	0.5	0.6666666666666666	0.956392787460054	0.004896423899129532	0.637595191640036	0.520518817227237	0.03729137444262831	1.2795331880577403	0.21953318805774036	181301	173204	0.9566071000409021	0.49033496829477063	1.4142135623730951	0.8867267398163676	1	5	1	4	0	0.2	1.0	0.3333333333333333	0.8407554797549113	0.0	0.2802518265849704	1.3188818767532133	0.0	5.708274695562574	0.0	8548	9039	0.7568090066526412	16.689819448771225	118.6086000254619	0.21580857411026955	1	1	1	0	0	1.0	1.0	1.0	0.8383437322745321	0.0	0.8383437322745321	1.7484142795848445	0.0	6.534278843147115	0.0	6828	9039	0.8383437322745321	1.6494474335706075	6.164414002968976	0.2147465366870165
case_00494	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9651801357626794	0.0009035430461757921	0.5515315061501025	0.6749936063922856	0.0008108659593332179	1.83597385602301	0.0	508539	503957	0.9651396153663817	0.637370515958054	1.7320508075688772	3.0389598459005356	5	7	4	3	1	0.5714285714285714	0.8	0.6666666666666666	0.83058289895577	0.06750394396833159	0.55372193263718	1.2671469834359725	0.6244737158678717	5.618081625636214	5.3168467015411265	88545	79392	0.868742445083573	3.352572988747734	18.59838527606506	2.219901875592768	1	1	1	0	0	1.0	1.0	1.0	0.8580249104006246	0.0	0.8580249104006246	14.424272012265927	0.0	155.021874286798	0.0	75161	65744	0.8580249104006246	13.607803785156536	146.2470512139604	2.8972642393782735
case_00495	3	4	2	2	1	0.5	0.6666666666666666	0.5714285714285714	0.9666016671650596	3.3084095797497604e-05	0.5523438098086054	0.6290795924066717	0.020886002715616525	1.4990663761154808	0.0	597691	606547	0.964600020926096	1.1146239390247734	1.4142135623730951	3.312396033667028	2	2	2	0	0	1.0	1.0	1.0	0.7974267176656739	0.13528420675922692	0.7974267176656739	1.1726995593959721	0.18370948901444534	3.18	0.0	63437	60518	0.9282078173530717	0.9559606756430266	3.0	0.7459443863481283	1	1	1	0	0	1.0	1.0	1.0	0.9224151275429149	0.0	0.9224151275429149	3.6997033032859594	0.0	4.24	0.0	62944	59799	0.9224151275429149	3.490286135175433	4.0	0.9515132941305637
case_00496	2	2	2	0	0	1.0	1.0	1.0	0.9565784503271266	0.0026189102169686396	0.9565784503271266	0.6949083717375951	0.014612753584964389	2.12	0.0	387317	387270	0.9569641628377445	0.6544984120221261	2.0	1.512261226773262	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.8135945634889118	0.01725899954945942	0.6508756507911295	1.8492677987243642	1.1079329440573877	6.716370333422739	5.217303957307258	58889	53259	0.7924706637657382	3.064815007273057	13.0	0.4939572364091873	1	1	1	0	0	1.0	1.0	1.0	0.7890929630844357	0.0	0.7890929630844357	7.700636839588516	0.0	14.84	0.0	58415	51349	0.7890929630844357	7.264751735460864	14.0	0.599457137286663
case_00497	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9688031706018407	0.0022137973409423473	0.7750425364814726	0.626327070393056	0.036600475535132015	1.6675201160692454	0.16845373995376467	318954	316678	0.9689065371158154	0.5895005664824242	1.4142135623730951	1.0872537223622203	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.7465727581436298	0.0	0.49771517209575317	1.9410004897137632	0.0	5.192918254700338	0.0	8978	6925	0.7465258127397346	1.8657331794097154	4.898979485566356	0.14898782595992088	1	1	1	0	0	1.0	1.0	1.0	0.7736749232076335	0.0	0.7736749232076335	1.7044791516691573	0.0	4.370491963154721	0.0	8376	6925	0.7736749232076335	1.6079991996878842	4.123105625617661	0.1628710702061653
case_00498	2	2	2	0	0	1.0	1.0	1.0	0.9649083756230623	3.69085378672529e-05	0.9649083756230623	0.7665969781801041	0.005443302148934792	2.2451160280748885	0.12511602807488842	423414	430903	0.9649111512471366	0.723570327610098	2.0	1.721455255523324	1	1	1	0	0	1.0	1.0	1.0	0.6976376172713914	0.0	0.6976376172713914	2.848238156569134	0.0	10.861767811917174	0.0	9941	16600	0.6976376172713914	2.6870171288388054	10.246950765959598	0.5908971019089222	1	1	1	0	0	1.0	1.0	1.0	0.6970578237715753	0.0	0.6970578237715753	2.851398515761947	0.0	10.861767811917174	0.0	9877	16600	0.6970578237715753	2.6899985997754214	10.246950765959598	0.7606965331360698
case_00499	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9593034996852269	0.0026678687403595136	0.7674427997481815	0.7292119428683321	0.0030712849749858218	2.12	0.0	819318	825546	0.9596452959028832	0.6878582033359915	2.0	3.8205731958150864	18	17	15	2	3	0.8823529411764706	0.8333333333333334	0.8571428571428571	0.7228133878302139	0.23071938503818706	0.6195543324258975	1.897435738474678	1.1823191122168666	7.901444590067935	7.607542962679199	253763	280353	0.895861573141415	1.1827185492112562	4.0	2.9661186514422297	1	1	1	0	0	1.0	1.0	1.0	0.5073424274367779	0.0	0.5073424274367779	26.78973240931109	0.0	104.47696834196393	0.0	203462	83977	0.5073424274367779	25.273332461614235	98.56317768109804	3.584354216232896
case_00500	7	2	2	0	5	1.0	0.2857142857142857	0.4444444444444444	0.9556146909128647	0.015041300376877509	0.4247176404057176	0.9224211639408124	0.33311070639174023	3.885055473100538	2.385989096985057	599592	628555	0.9553107242048386	0.8596270720248755	3.1622776601683795	3.328164885751903	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.883446370258729	0.0	0.5889642468391526	0.9572047945067949	0.0	2.9981327522309615	0.0	8494	7530	0.8779331003494758	2.4404897668829624	3.0	1.0406348602846265	1	1	1	0	0	1.0	1.0	1.0	0.8846687697160883	0.0	0.8846687697160883	0.9412473083953117	0.0	2.9981327522309615	0.0	8320	7530	0.8846687697160883	0.8879691588635015	2.8284271247461903	1.197932562790811
