subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	3	4	3	1	0	0.75	1.0	0.8571428571428571	0.7812453556177908	0.23858951529557812	0.6696388762438207	0.5882047453285882	0.31393354431479653	2.5292256306463057	1.637752477656133	247455	253005	0.9446629101226871	0.8151027139742376	4.123105625617661	3.4006512984633446	2	2	1	1	1	0.5	0.5	0.5	0.696442706150766	0.0	0.348221353075383	4.752609750185228	0.0	15.0	0.0	47479	38947	0.6927082128063314	7.338519832842674	11.0	1.0437941616401076	1	1	1	0	0	1.0	1.0	1.0	0.6883149418431256	0.0	0.6883149418431256	8.352757596025997	0.0	13.623509092741122	0.0	44955	38870	0.6883149418431256	7.398061543836814	10.344080432788601	1.2319029103964567
case_00492	2	2	2	0	0	1.0	1.0	1.0	0.9442427146924265	0.004145816092192334	0.9442427146924265	1.3004339643606126	0.43237265512157197	6.5	2.5	384703	373167	0.9432963437001068	0.986177845072125	4.69041575982343	2.6610456090420485	5	5	3	2	2	0.6	0.6	0.6	0.7716005198544589	0.049502521753626544	0.4629603119126753	1.900575536617949	1.369798548126939	7.01109572173102	3.7564881801213827	59538	68680	0.7695643357406916	3.389825819295848	13.892443989449804	1.4596245884895325	1	1	1	0	0	1.0	1.0	1.0	0.35446729939197213	0.0	0.35446729939197213	8.352529796213261	0.0	31.210254725009857	0.0	17922	67107	0.35446729939197213	8.055882889934308	37.17526059088221	1.4397625420242548
case_00493	6	4	2	2	4	0.5	0.3333333333333333	0.4	0.8944179539759645	0.040248079149205196	0.3577671815903858	1.0187357943993205	0.20625237121603524	5.609581046973007	0.7433710227344306	101522	107297	0.8997457127943338	0.7582860009943897	3.4641016151377544	0.7893310189247131	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.33761361996825856	0.0	0.2250757466455057	4.1666984782223295	0.0	15.57562197795003	0.0	2166	5757	0.2953426732298372	38.07245743139627	151.00546346906046	0.16360787115991116	1	1	1	0	0	1.0	1.0	1.0	0.30976965845909454	0.0	0.30976965845909454	29.298259595952032	0.0	120.03749414245534	0.0	1797	5757	0.30976965845909454	35.83188921548263	150.00333329629711	0.2239602729678154
case_00494	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9120367059059017	0.03303572118219078	0.5211638319462295	1.9525393861935036	1.0179504302674642	13.705408206438486	9.543677797101523	335072	313436	0.9099872322315222	1.210413638022837	7.0710678118654755	3.393098583444953	5	5	3	2	2	0.6	0.6	0.6	0.7208640726054645	0.23794211862902204	0.4325184435632787	2.1676302074512996	1.7347662423165324	9.331621328750137	7.316705317979461	47231	48717	0.8578813523992163	2.457526427343032	15.588457268119896	2.5390168130397797	1	1	1	0	0	1.0	1.0	1.0	0.8785889878040049	0.0	0.8785889878040049	10.11790006570412	0.0	151.44110382479323	0.0	43602	40196	0.8785889878040049	11.741690889018466	185.4761440060395	2.076109243556857
case_00495	3	5	2	3	1	0.4	0.6666666666666666	0.5	0.9504632757981504	0.009696316568335306	0.4752316378990752	0.9298247254369649	0.29695621738971556	4.2153054349580055	1.3308644145868138	381180	375962	0.9513327750937076	0.6833775663292416	2.23606797749979	3.0346248373389244	2	6	2	4	0	0.3333333333333333	1.0	0.5	0.6830389348821916	0.21085848375437208	0.3415194674410958	1.693255947496187	0.07400951714404491	6.42842712474619	0.7715728752538098	41574	37813	0.873745071611221	10.428994911827234	139.9481299015187	1.8856055978685617	1	1	1	0	0	1.0	1.0	1.0	0.8777539779681762	0.0	0.8777539779681762	11.498685027853496	0.0	176.31700993617582	0.0	41077	37355	0.8777539779681762	10.455467365998283	163.03496195543525	2.30772995762527
case_00496	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9198511652139336	0.007848427439115624	0.6132341101426224	1.4275991827344137	0.23687897556584936	7.382921400162226	1.3829214001622256	247733	240612	0.9205459255239636	1.0627791899582455	5.0	1.3929683323949575	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6071235660517647	0.21405832189911791	0.40474904403450973	5.055324694431929	4.2621977639697395	10.992233445670255	7.992233445670255	16399	34250	0.3993760982447827	5.156807342955604	12.409673645990857	0.7477433979511261	1	1	1	0	0	1.0	1.0	1.0	0.29142581888246627	0.0	0.29142581888246627	17.863718789187146	0.0	23.065125189341593	0.0	12611	33061	0.29142581888246627	14.864909940795776	16.911534525287763	0.8759301900863647
case_00497	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9133040746554658	0.004099304448087038	0.6088693831036438	1.8046685677860321	0.5392666248774856	10.941129581856632	4.611167945326202	206052	196682	0.9128506656999409	1.1801457154450001	6.0	1.1973503902554512	1	1	1	0	0	1.0	1.0	1.0	0.3901522270249953	0.0	0.3901522270249953	3.615543956931915	0.0	12.32233744059949	0.0	1170	4151	0.3901522270249953	2.7473040687325168	10.954451150103322	0.09981707111001015	1	1	1	0	0	1.0	1.0	1.0	0.3650294695481336	0.0	0.3650294695481336	3.772332986755208	0.0	12.786542206181354	0.0	939	4151	0.3650294695481336	2.779396944812604	11.575836902790225	0.11784534342586994
case_00498	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.8634359110088906	0.03682828484031564	0.5756239406725937	2.5305045582507306	0.7625402915172561	13.822453770400546	4.9264128620121985	213318	267162	0.8674575424575425	1.941966599126091	11.0	22.27196054160595	1	1	0	1	1	0.0	0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	302	10322	0.056852409638554216	8.514620899748042	30.76848647183706	0.8474459387362003	1	1	1	0	0	1.0	1.0	1.0	0.054655107425555974	0.0	0.054655107425555974	9.361884614947382	0.0	25.393700006103877	0.0	290	10322	0.054655107425555974	8.534745983536574	30.783109509036915	1.0097626820206642
case_00499	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.941848149659593	0.001592657284589294	0.7534785197276744	0.9086786870503774	0.0020049220682394897	3.2494737444737165	0.1446388052217118	515173	512155	0.9420399327186644	0.6999262134775359	2.449489742783178	3.4897418059408665	18	13	10	3	8	0.7692307692307693	0.5555555555555556	0.6451612903225806	0.6866766607602838	0.18802312043846697	0.44301720049050564	3.277470734705841	2.22729149091476	14.163161643990318	11.813180173917273	126485	174418	0.8020591353359721	2.0458094978850085	13.0	2.6227884087711573	1	1	1	0	0	1.0	1.0	1.0	0.4407425673248458	0.0	0.4407425673248458	27.336258562439607	0.0	105.47353222354586	0.0	111860	52381	0.4407425673248458	21.67047938388353	94.51454914456292	3.046893088147044
case_00500	7	4	2	2	5	0.5	0.2857142857142857	0.36363636363636365	0.2318277288047521	0.017547103546483964	0.08430099229263713	14.693005998533122	5.460558398847192	60.566907960901915	27.928289648911914	53236	390156	0.23940892032332564	8.76830714755446	39.08964057138413	2.972442913800478	1	0	0	0	1		0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	0	4588	0.0	inf	inf	1.2682810183614492	1	0	0	0	1		0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	0	4588	0.0	inf	inf	1.4503203462809324
