subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	2	2	0	0	1.0	1.0	1.0	0.9503824940650258	0.017389572880151027	0.9503824940650258	0.7004531209350853	0.27978013048054307	3.2574975262778425	1.69224994202799	421606	439042	0.9502979150593507	0.6868188746480904	2.449489742783178	3.3486920595169067	2	1	1	0	1	1.0	0.5	0.6666666666666666	0.664401356541744	0.0	0.442934237694496	4.864897390964703	0.0	14.104343302685168	0.0	80361	70950	0.6644725102603247	3.8975084916868146	11.445523142259598	1.1023213677108288	1	1	1	0	0	1.0	1.0	1.0	0.6632270418339937	0.0	0.6632270418339937	4.852091214030505	0.0	14.104343302685168	0.0	79498	70906	0.6632270418339937	3.9318339121267885	11.489125293076057	1.2710377499461174
case_00492	2	2	2	0	0	1.0	1.0	1.0	0.9567350667075734	0.0008803141945309401	0.9567350667075734	0.8307832394781837	0.11472180770127605	3.1057828194149413	0.7494084858253056	659957	650930	0.95693984302232	0.7933056173043552	3.0	4.717153426259756	5	6	4	2	1	0.6666666666666666	0.8	0.7272727272727273	0.5441048457466209	0.2718701356605915	0.39571261508845157	1.8899327495209928	0.6677352752726463	6.3944356698256195	3.0940374051491006	126271	123941	0.8194730868223746	2.6822050352256843	9.899494936611665	3.0004688128829002	1	1	1	0	0	1.0	1.0	1.0	0.7295831526326343	0.0	0.7295831526326343	3.5361287472207064	0.0	11.336776437771013	0.0	93035	121408	0.7295831526326343	3.1009432344557704	10.44030650891055	3.258040100336075
case_00493	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9540546191391865	0.007785888976550914	0.5451740680795352	0.6087259701646371	0.303931117754529	3.7376800358168074	2.3376800358168075	193597	186751	0.9535215118785954	0.5514702840026785	1.7320508075688772	1.5807672943919897	1	3	1	2	0	0.3333333333333333	1.0	0.5	0.7482847611254485	0.0	0.37414238056272425	1.7483331076367807	0.0	7.989351415409677	0.0	7587	9854	0.6816122928731151	41.84190186222938	208.78769114750804	0.693512000143528	1	1	1	0	0	1.0	1.0	1.0	0.686294885117192	0.0	0.686294885117192	30.170358347643525	0.0	156.31546620083836	0.0	7468	9854	0.686294885117192	39.553086580800446	206.84571544814509	0.827920600771904
case_00494	5	3	2	1	3	0.6666666666666666	0.4	0.5	0.9541819019190947	0.003666508120287071	0.47709095095954734	0.8362225762162443	0.04466021338631493	3.606080747445708	0.4755855789460024	560519	544090	0.9528711064277042	0.757771223104824	2.8284271247461903	6.198023211210966	5	7	4	3	1	0.5714285714285714	0.8	0.6666666666666666	0.7603706366591241	0.17564665752120012	0.5069137577727494	1.0928504605137073	0.07739121919936316	3.998880096435122	0.650159960575112	89765	85745	0.8549712267107288	2.5472500467372017	16.822603841260722	4.591211684048176	1	1	1	0	0	1.0	1.0	1.0	0.796413905845567	0.0	0.796413905845567	23.067465111778684	0.0	160.06788553832823	0.0	83254	70897	0.796413905845567	30.42703673909437	221.5016929267751	6.196827342733741
case_00495	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9611260559081585	0.0017445350004915428	0.7689008447265269	0.6179033149238512	0.016625145960169507	2.25	0.0	644677	653557	0.9613182215224683	0.6097634602705433	1.4142135623730951	20.63283796608448	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.7609371545350827	0.14087242961598895	0.6087497236280662	1.4816409945721873	0.08142801137811684	4.699999999999999	0.19999999999999973	65335	65740	0.897745565515926	1.3053373195247717	4.123105625617661	1.875467149540782	1	1	1	0	0	1.0	1.0	1.0	0.895262460315014	0.0	0.895262460315014	3.0239975890159476	0.0	5.467174773134658	0.0	64738	65034	0.895262460315014	2.7526819277285286	4.898979485566356	2.187243754044175
case_00496	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9414334166632123	0.0014994707744301894	0.6276222777754749	0.8926024266102185	0.0261268963544804	3.9316924893711684	0.5504944768318261	411520	418592	0.9416006514783547	0.8338684151292193	3.0	2.8600043058395386	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.7146212072816476	0.11676797617540441	0.476414138187765	3.0078023715622546	2.3582225226643114	7.326864638961415	5.076864638961415	35626	59085	0.6011973266040903	3.9688828249968986	11.0	1.0897949635982513	1	1	1	0	0	1.0	1.0	1.0	0.5807537682876857	0.0	0.5807537682876857	11.010760845848544	0.0	14.173655139024653	0.0	33133	57160	0.5807537682876857	12.450436204946756	14.7648230602334	1.2851662449538708
case_00497	4	3	2	1	2	0.6666666666666666	0.5	0.5714285714285714	0.947440823854253	0.0058824871566348635	0.5413947564881445	1.1041138301692446	0.21252579997887228	4.066277120708288	1.325383105975139	359244	341600	0.9470467036886954	0.8528891457693658	3.0	2.130110517144203	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.7762668526266853	0.0	0.5175112350844568	1.8408978123616981	0.0	6.305074256333856	0.0	9678	7542	0.7757259001161441	1.9176782100408438	4.0	0.23790290020406246	1	1	1	0	0	1.0	1.0	1.0	0.7950042031944278	0.0	0.7950042031944278	1.720886358086093	0.0	6.3	0.0	9112	7542	0.7950042031944278	1.3015675884580629	3.0	0.36604008078575134
case_00498	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.9062093940824184	0.0352363963660135	0.7249675152659347	1.8160844612764468	0.5331199859461653	8.980949714570103	4.268201047390832	415884	464843	0.9105046172082836	1.6359527809852599	7.0710678118654755	3.9579986073076725	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.5535779150018162	0.0	0.3690519433345441	4.101784685742357	0.0	14.540776423260056	0.0	10335	18356	0.5311770241539159	7.216825750048161	24.779023386727733	2.117273736745119	1	1	1	0	0	1.0	1.0	1.0	0.5319462992900822	0.0	0.5319462992900822	8.734827607728796	0.0	42.44267111762693	0.0	10098	18356	0.5319462992900822	7.126221184465361	24.372115213907882	2.1369566954672337
case_00499	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9540736286961675	0.004265357342228715	0.636049085797445	0.7235222171259389	0.02531886590746324	2.25	0.0	897574	889423	0.9546205169902355	0.6523082409430478	2.0	7.313062034547329	18	13	12	1	6	0.9230769230769231	0.6666666666666666	0.7741935483870968	0.7446290226251359	0.17394824959996938	0.5764869852581697	2.226141738051752	1.7738441298073764	10.038110731990782	11.170728434345486	250329	302545	0.846966940026118	1.940378514011435	12.409673645990857	5.747663425281644	1	1	1	0	0	1.0	1.0	1.0	0.4382391271306749	0.0	0.4382391271306749	28.71805242061864	0.0	106.74583012924312	0.0	218759	90474	0.4382391271306749	25.890649558867853	108.17116066678771	6.665853997692466
case_00500	7	6	2	4	5	0.3333333333333333	0.2857142857142857	0.3076923076923077	0.5770536071697202	0.04750310464936003	0.1775549560522216	4.880708281647801	0.1370328068125879	21.35640173208462	3.196831252582635	287708	679665	0.5802477431146	5.019488838201478	24.111198688422327	6.932349625974894	1	5	1	4	0	0.2	1.0	0.3333333333333333	0.8017711171662125	0.0	0.26725703905540416	1.9488005183462729	0.0	9.0	0.0	9924	7842	0.7950016886187099	2.4892365827567087	5.0	2.759729892015457	1	1	1	0	0	1.0	1.0	1.0	0.7950898136156315	0.0	0.7950898136156315	3.151194596568803	0.0	11.25	0.0	9917	7842	0.7950898136156315	2.4905479266842914	5.0	3.208675667643547
