subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.9846403569322956	0.00461026745569415	0.7877122855458365	0.09069180655477953	0.033336236546047296	0.6035533905932737	0.10355339059327379	184534	186745	0.9843702444792192	0.1895206312377083	1.0	1.3893911633640528	2	1	1	0	1	1.0	0.5	0.6666666666666666	0.7557822835156284	0.0	0.5038548556770855	1.716359268507457	0.0	5.5901699437494745	0.0	39566	29844	0.7557988762426163	2.2278799714279076	9.0	0.27337437961250544	1	1	1	0	0	1.0	1.0	1.0	0.7557485501122023	0.0	0.7557485501122023	1.6961379514249324	0.0	5.528336096873995	0.0	38799	29827	0.7557485501122023	2.2181761998619334	8.831760866327848	0.2884647687897086
case_00492	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.9664478733216371	0.0006278013898244339	0.7731582986573097	0.24519872240104684	0.04375031631930204	1.266123775561495	0.14808978681160012	209313	216547	0.9665946555205936	0.38550917928817335	1.7320508075688772	1.2233564518392086	5	5	4	1	1	0.8	0.8	0.8	0.7758132940247959	0.13979500942180215	0.6206506352198368	0.3825763494917147	0.3114658967611837	1.7588834764831844	1.030814685651319	35074	40617	0.8369819397286336	1.244034499734902	6.082762530298219	0.6850737985223532	1	1	1	0	0	1.0	1.0	1.0	0.45026938214053724	0.0	0.45026938214053724	4.1576703751318735	0.0	11.792476415070755	0.0	12551	39791	0.45026938214053724	6.764914764276743	21.95449840010015	0.6452902862802148
case_00493	4	3	2	1	2	0.6666666666666666	0.5	0.5714285714285714	0.9630500487194105	0.014158150712744566	0.5503143135539488	0.4446154448447681	0.3181435134749732	2.125	1.625	278641	273916	0.9620509739266718	0.5728162216969255	1.0	2.4644370321184397	1	3	1	2	0	0.3333333333333333	1.0	0.5	0.8626735422451408	0.0	0.4313367711225704	0.7854587986828089	0.0	4.459528454214553	0.0	11212	14185	0.8563216127889121	8.001694494515487	10.246950765959598	0.6319017866626382	1	1	1	0	0	1.0	1.0	1.0	0.8626517495834325	0.0	0.8626517495834325	0.7855594566263604	0.0	4.459528454214553	0.0	11021	14185	0.8626517495834325	1.3465805366515642	8.246211251235321	0.6745972614735365
case_00494	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9789110749768495	0.00391812583705442	0.5593777571296282	0.12922137785535093	0.029447045945482808	0.875	0.375	126073	125918	0.9788603561238298	0.18614723913207115	1.0	0.984697281382978	5	5	4	1	1	0.8	0.8	0.8	0.8460742535401449	0.09109424608730672	0.676859402832116	0.3716842094956927	0.33488101390351815	2.6504720344697263	2.948516236091284	21168	19792	0.87900390625	1.7081328157062994	14.45683229480096	0.685828079469502	1	1	1	0	0	1.0	1.0	1.0	0.8535485538673636	0.0	0.8535485538673636	6.138498637286427	0.0	79.2292559599209	0.0	18427	16390	0.8535485538673636	12.0176624188155	157.20623394219743	0.7424085354432464
case_00495	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9700085872072822	0.0005774147393846629	0.6466723914715214	0.1617061146042743	0.010748500229991131	0.6035533905932737	0.10355339059327379	160013	168415	0.969966019949578	0.2854671654493812	1.0	1.0117997974157333	2	2	2	0	0	1.0	1.0	1.0	0.7524353249909626	0.17933590978628422	0.7524353249909626	0.4544712667742867	0.14376258889213017	1.875	0.625	15851	16926	0.9280288006834061	0.4701077495402663	1.7320508075688772	0.2759759882465005	1	1	1	0	0	1.0	1.0	1.0	0.9313910064504182	0.0	0.9313910064504182	0.31203646188552586	0.0	1.25	0.0	15676	16725	0.9313910064504182	0.4552744577930815	1.4142135623730951	0.24163674842566252
case_00496	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9636391644647504	0.0006558993823655435	0.7709113315718004	0.20706523970533613	0.026358863254769216	0.9785533905932737	0.2714466094067262	159837	163763	0.963522867737948	0.3245620152808759	1.0	0.8883541524410248	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.8396298690025008	0.09435071352177099	0.6717038952020007	0.824476199238338	0.758824469820675	2.141593243802695	1.6415932438026946	22543	22695	0.7453910429285114	1.57840942099152	4.69041575982343	0.29054425936192274	1	1	1	0	0	1.0	1.0	1.0	0.721372911953566	0.0	0.721372911953566	4.418463631088258	0.0	4.636809247747852	0.0	21812	21949	0.721372911953566	7.343353808446929	6.0	0.33849657885730267
case_00497	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9807009015788299	0.0019498612601676624	0.784560721263064	0.113203586008225	0.009523072449942237	0.6035533905932737	0.10355339059327379	219304	219873	0.9808027287403485	0.1663322935160096	1.0	1.0819755950942636	1	1	1	0	0	1.0	1.0	1.0	0.8276862501295202	0.0	0.8276862501295202	0.5527065671414171	0.0	1.346291201783626	0.0	4928	4723	0.8276862501295202	0.6006286331955157	1.7320508075688772	0.11556782945990562	1	1	1	0	0	1.0	1.0	1.0	0.8254568367989918	0.0	0.8254568367989918	0.5525032924625035	0.0	1.4361406616345072	0.0	4799	4723	0.8254568367989918	0.6043230483919246	2.0	0.13840601965785027
case_00498	2	2	2	0	0	1.0	1.0	1.0	0.9413286874085367	0.023615214998631284	0.9413286874085367	0.42583526246220677	0.14876417979709228	2.4103571071357126	1.1603571071357126	132776	145413	0.9437109303387266	0.6340934770497388	2.23606797749979	0.8941322136670351	1	6	1	5	0	0.16666666666666666	1.0	0.2857142857142857	0.5775075987841946	0.0	0.16500217108119844	1.7473031430703232	0.0	8.902246907382429	0.0	3136	5610	0.5431054196203979	16.511786593106244	49.929875463453044	0.4245883347466588	1	1	1	0	0	1.0	1.0	1.0	0.5402734689187636	0.0	0.5402734689187636	8.48639806658148	0.0	24.95595711466683	0.0	3093	5610	0.5402734689187636	16.593024508779227	49.80958617958219	0.524193000048399
case_00499	3	4	2	2	1	0.5	0.6666666666666666	0.5714285714285714	0.9710090441597973	0.001162516891207388	0.5548623109484555	0.1490305577590456	0.0027604043753760438	0.8535533905932737	0.1464466094067262	225742	231262	0.97021032638664	0.3752563790270538	1.0	1.4188346341252327	18	18	16	2	2	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8415284303711319	0.10941852343854415	0.7480252714410061	0.3573433029637444	0.4795309897845999	1.923641982320193	2.175436753231699	68849	78573	0.9068795702134009	0.43942817113308336	2.0	1.0072563961148262	1	1	1	0	0	1.0	1.0	1.0	0.5365922978541993	0.0	0.5365922978541993	9.881295526690199	0.0	42.79310692155922	0.0	39862	23471	0.5365922978541993	15.85207211036309	79.12648102879339	1.0291106011718512
case_00500	7	10	2	8	5	0.2	0.2857142857142857	0.23529411764705882	0.6983337037430347	0.026012598920471586	0.16431381264541994	1.7236378170193771	0.10820811489498383	8.30710768649718	0.15235447134713542	141990	261832	0.6999371009999455	2.526315936838203	11.357816691600547	1.7239955309778452	1	3	1	2	0	0.3333333333333333	1.0	0.5	0.8274829479287972	0.0	0.4137414739643986	0.6287609607387501	0.0	2.1213203435596424	0.0	3057	3087	0.8095703125	6.560715395338721	5.656854249492381	0.6410870868712664	1	1	1	0	0	1.0	1.0	1.0	0.797521353207168	0.0	0.797521353207168	3.035264497409495	0.0	2.9154759474226504	0.0	2884	3087	0.797521353207168	5.298692034010122	5.0	0.828560191206634
