subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.9551639394185654	0.03408847437453805	0.7641311515348523	0.26701044711851024	0.2112800139137672	1.6475424859373686	1.1475424859373686	173151	186745	0.9554260119590103	0.37672873101216536	1.7320508075688772	1.1858163997530937	2	1	1	0	1	1.0	0.5	0.6666666666666666	0.5883060428514973	0.0	0.3922040285676649	2.4880528768741255	0.0	8.15858443604036	0.0	28374	29844	0.5882716685561167	3.2447147761236055	11.180339887498949	0.276427554897964	1	1	1	0	0	1.0	1.0	1.0	0.5863786210282668	0.0	0.5863786210282668	2.4657788547420507	0.0	8.200609733428363	0.0	27201	29827	0.5863786210282668	3.2545640212298412	11.224972160321824	0.29898148868232965
case_00492	2	2	2	0	0	1.0	1.0	1.0	0.9671870030414651	0.0015643438832365075	0.9671870030414651	0.25409134021727264	0.0602260488005773	1.277087325192201	0.15905333644230613	208853	216547	0.9668171133051245	0.40617690861137484	1.7320508075688772	1.2402840070426464	5	5	3	2	2	0.6	0.6	0.6	0.7732282009453947	0.14877463210569467	0.4639369205672368	0.4141311839217934	0.3247790676641241	1.7360132971832691	0.8701098581996455	36887	40617	0.8414791494632535	1.1786448846334583	5.0	0.6988532077521086	1	1	1	0	0	1.0	1.0	1.0	0.6584757948554082	0.0	0.6584757948554082	1.725132338739479	0.0	6.25	0.0	22799	39791	0.6584757948554082	2.2303684118404825	9.055385138137417	0.7214201800525188
case_00493	4	4	2	2	2	0.5	0.5	0.5	0.9718173108784762	0.005437952683841285	0.4859086554392381	0.17425267103936393	0.030330201264442247	0.6035533905932737	0.10355339059327379	270267	273916	0.9620881210916181	0.5792776436036303	1.0	2.4026064733043313	1	3	1	2	0	0.3333333333333333	1.0	0.5	0.8027451475727337	0.0	0.40137257378636687	1.1172218335628346	0.0	5.612486080160912	0.0	9765	14185	0.7960751565762004	9.70435733809592	12.529964086141668	0.6511805644258857	1	1	1	0	0	1.0	1.0	1.0	0.8026443218661838	0.0	0.8026443218661838	1.1178691090059023	0.0	5.612486080160912	0.0	9564	14185	0.8026443218661838	1.8939441058959627	10.44030650891055	0.7006738903000951
case_00494	5	2	2	0	3	1.0	0.4	0.5714285714285714	0.9792114138743171	0.0025721509965220823	0.5595493793567526	0.11890175458160752	0.01527914263005549	0.6035533905932737	0.10355339059327379	123939	125918	0.9791600795655114	0.18933234550143135	1.0	0.9927691239863634	5	6	4	2	1	0.6666666666666666	0.8	0.7272727272727273	0.7136173560711006	0.32998440089387504	0.5189944407789823	0.3224996032456487	0.1943502926315936	1.36065385504987	0.5661237380095694	20317	19792	0.8675858286170186	1.7306769207086259	13.341664064126334	0.7071414068341255	1	1	1	0	0	1.0	1.0	1.0	0.8147697301683912	0.0	0.8147697301683912	9.336519468883274	0.0	80.01581862249631	0.0	18113	16390	0.8147697301683912	18.21186861006931	158.8363930346859	0.886719043366611
case_00495	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9644808085235896	0.003697894673768909	0.7715846468188717	0.1986668104983791	0.029918407269447847	0.75	0.25	158139	168415	0.9640488250029091	0.3449113964645885	1.0	1.1121399262920022	2	2	2	0	0	1.0	1.0	1.0	0.7318023917174037	0.1997511096661217	0.7318023917174037	0.4771535132886112	0.1531055112091785	2.0267102550463	0.7767102550463003	16273	16926	0.9277990300912679	0.47816158518629603	1.7320508075688772	0.28290018253028393	1	1	1	0	0	1.0	1.0	1.0	0.927951947534553	0.0	0.927951947534553	0.3586855863702685	0.0	1.25	0.0	15906	16725	0.927951947534553	0.5211090547738745	1.4142135623730951	0.3952412437647581
case_00496	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9616470584249102	0.0010941598781104012	0.7693176467399282	0.2167353491281921	0.0274618883317113	0.9785533905932737	0.2714466094067262	157831	163763	0.9614669427912212	0.3470622261780545	1.0	0.9346933523193002	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.8309509624058832	0.10108787254557317	0.6647607699247066	0.8609857167374403	0.7918579874004207	2.153943276465977	1.6539432764659772	21756	22695	0.7303772693527705	1.6567596500828665	5.0	0.32421712577342987	1	1	1	0	0	1.0	1.0	1.0	0.7197160047025195	0.0	0.7197160047025195	4.688058977951846	0.0	4.732846120562824	0.0	21432	21949	0.7197160047025195	7.812964854536772	6.4031242374328485	0.3538433201611042
case_00497	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9796857345210059	0.0012970594354308473	0.7837485876168048	0.12000363293837402	0.0016606199305106983	0.6035533905932737	0.10355339059327379	217755	219873	0.9797544946849835	0.18063675832500886	1.0	1.0931843491271138	1	1	1	0	0	1.0	1.0	1.0	0.8297023626879411	0.0	0.8297023626879411	0.5659164801905716	0.0	1.6770509831248424	0.0	5054	4723	0.8297023626879411	0.6692840301429224	2.23606797749979	0.1313283685594797	1	1	1	0	0	1.0	1.0	1.0	0.8299018055115616	0.0	0.8299018055115616	0.5399023400479007	0.0	1.6007810593582121	0.0	4748	4723	0.8299018055115616	0.6107517958586527	2.0	0.1467500403523445
case_00498	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.85677921721605	0.015210461683032472	0.5711861448107	0.9606852080792119	0.13939957868751524	5.402620313104269	1.686103126274643	110461	145413	0.858188014413344	1.392524605728838	7.0	0.9526212885975838	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.6397892566716298	0.0	0.4265261711144198	1.0466424754995698	0.0	4.422951503238533	0.0	3150	5610	0.6376712328767123	3.0815695770693576	8.06225774829855	0.39160644821822643	1	1	1	0	0	1.0	1.0	1.0	0.6309126481758546	0.0	0.6309126481758546	1.8879050281758105	0.0	4.643543905251677	0.0	3079	5610	0.6309126481758546	3.196185296640036	8.306623862918075	0.4571931390091777
case_00499	3	5	2	3	1	0.4	0.6666666666666666	0.5	0.9393231838123832	0.006691384345785312	0.4696615919061916	0.3090870399184147	0.014462618101745428	1.6389160212415272	0.03813496188331511	209523	231262	0.9377315471261499	0.49489253203421946	2.0	1.4694067146629095	18	17	14	3	4	0.8235294117647058	0.7777777777777778	0.8	0.8026970366635646	0.10019467572484984	0.6421576293308517	0.5836343648165513	0.46490797565224906	2.746848269100428	2.6532331249084415	58902	78573	0.8202218585197308	1.0097379353454636	4.123105625617661	1.0737730748951435	1	1	1	0	0	1.0	1.0	1.0	0.47826153492998696	0.0	0.47826153492998696	11.162212001840935	0.0	41.57838981862595	0.0	41874	23471	0.47826153492998696	18.064435862081336	76.46306257556795	1.1106594614684582
case_00500	7	18	2	16	5	0.1111111111111111	0.2857142857142857	0.16	0.2271135721314156	0.09829552933902619	0.0363381715410265	5.26845658476221	1.4272199482628085	23.043425740931852	4.543425740931852	34291	261832	0.23078247890234801	7.032774851570268	31.064449134018133	1.6309820618480444	1	3	1	2	0	0.3333333333333333	1.0	0.5	0.5862822193097422	0.0	0.2931411096548711	1.2324399702659306	0.0	4.712011313774722	0.0	1494	3087	0.5858982754857018	2.0881714094837527	8.306623862918075	0.6048978101462126	1	1	1	0	0	1.0	1.0	1.0	0.5252571428571429	0.0	0.5252571428571429	1.5854676386170854	0.0	5.5	0.0	1288	3087	0.5252571428571429	2.549867341360415	10.099504938362077	0.7825063532218337
