subject_name	kidney-num_ref_instances	kidney-num_pred_instances	kidney-tp	kidney-fp	kidney-fn	kidney-prec	kidney-rec	kidney-rq	kidney-sq_dsc	kidney-sq_dsc_std	kidney-pq_dsc	kidney-sq_assd	kidney-sq_assd_std	kidney-sq_hd95	kidney-sq_hd95_std	kidney-global_bin_volume_pred	kidney-global_bin_volume_ref	kidney-global_bin_dsc	kidney-global_bin_assd	kidney-global_bin_hd95	kidney-computation_time	masses-num_ref_instances	masses-num_pred_instances	masses-tp	masses-fp	masses-fn	masses-prec	masses-rec	masses-rq	masses-sq_dsc	masses-sq_dsc_std	masses-pq_dsc	masses-sq_assd	masses-sq_assd_std	masses-sq_hd95	masses-sq_hd95_std	masses-global_bin_volume_pred	masses-global_bin_volume_ref	masses-global_bin_dsc	masses-global_bin_assd	masses-global_bin_hd95	masses-computation_time	tumor-num_ref_instances	tumor-num_pred_instances	tumor-tp	tumor-fp	tumor-fn	tumor-prec	tumor-rec	tumor-rq	tumor-sq_dsc	tumor-sq_dsc_std	tumor-pq_dsc	tumor-sq_assd	tumor-sq_assd_std	tumor-sq_hd95	tumor-sq_hd95_std	tumor-global_bin_volume_pred	tumor-global_bin_volume_ref	tumor-global_bin_dsc	tumor-global_bin_assd	tumor-global_bin_hd95	tumor-computation_time
case_00491	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.9592946163178746	0.011160221857620833	0.6395297442119163	0.5929644472004381	0.18693440811030593	2.3088457268119895	0.8088457268119895	864177	897310	0.9591600732789967	0.7471683523020562	2.0	4.543046310544014	2	2	1	1	1	0.5	0.5	0.5	0.6045963927541067	0.0	0.30229819637705335	6.227098962229608	0.0	14.927826365549674	0.0	162768	143243	0.6057429308096768	6.557603614976253	17.69180601295413	1.5270842900499701	1	1	1	0	0	1.0	1.0	1.0	0.5997162875528639	0.0	0.5997162875528639	6.077297938509382	0.0	14.951922953252534	0.0	157844	143165	0.5997162875528639	6.691431809082716	17.916472867168917	1.6516563957557082
case_00492	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.959349904310899	0.0010992911717320197	0.7674799234487192	0.7747298769855326	0.1632458336739428	2.4640775795642083	0.7670213047164941	1287840	1328815	0.9590977794168509	1.002157274266562	3.0	6.152415249496698	5	8	4	4	1	0.5	0.8	0.6153846153846154	0.6887850750651887	0.17303310269344366	0.4238677385016546	1.5279539598206742	1.1554456362843637	4.10764191514778	3.8684335197752957	172904	248879	0.7321679631469262	3.4798945237474506	11.180339887498949	4.0152281522750854	1	1	1	0	0	1.0	1.0	1.0	0.12987112317870664	0.0	0.12987112317870664	10.120385267698861	0.0	30.359347819082018	0.0	17664	243826	0.12987112317870664	13.010361411606283	36.932370625238775	3.8532473100349307
case_00493	4	2	2	0	2	1.0	0.5	0.6666666666666666	0.9558890020268905	0.008616654308874927	0.6372593346845936	0.6652415338459409	0.36387191339274516	1.7715374513859983	0.5715374513859982	388962	381556	0.955305391957099	0.7549415710248993	1.4142135623730951	2.7544959457591176	1	4	1	3	0	0.25	1.0	0.4	0.8350421508316245	0.0	0.3340168603326498	1.2521668238176322	0.0	5.63648826841678	0.0	15634	19914	0.8248002700573872	13.467931274800494	13.152946437965905	0.7119453921914101	1	1	1	0	0	1.0	1.0	1.0	0.8350327542010824	0.0	0.8350327542010824	1.252075428121354	0.0	5.63648826841678	0.0	15196	19914	0.8350327542010824	1.737226873688336	9.0	0.7420536233112216
case_00494	5	7	2	5	3	0.2857142857142857	0.4	0.3333333333333333	0.9615917205650328	0.0028497487619724704	0.3205305735216776	0.6454065898101975	0.04700548308910313	2.0077747210701755	0.3922252789298244	1113265	1113770	0.9612394955624856	0.7717943848769334	2.0	8.104143315926194	5	8	4	4	1	0.5	0.8	0.6153846153846154	0.8368186212674346	0.08400831270775568	0.5149653053953444	0.854878555796645	0.1160784467909138	2.7149208806958196	0.7561115073597496	185410	174605	0.8633473605266447	4.017872807596398	24.71841418861655	5.863562813028693	1	1	1	0	0	1.0	1.0	1.0	0.8391107886144002	0.0	0.8391107886144002	15.930333900515814	0.0	159.9449514572456	0.0	158797	144393	0.8391107886144002	24.78022224097992	259.2686830284419	7.325254628434777
case_00495	3	5	2	3	1	0.4	0.6666666666666666	0.5	0.9613787105064825	0.00150084607065748	0.48068935525324125	0.5977519403810447	0.04897747561489019	1.65	0.1499999999999999	1281909	1337601	0.9610194272974717	0.9310898847361604	2.0	8.444314303807914	2	2	2	0	0	1.0	1.0	1.0	0.7804880188824588	0.1361712883588318	0.7804880188824588	1.2119136502468804	0.0849233314904797	3.697366596101027	0.09736659610102749	129029	134540	0.9134230505104926	1.339346266296362	4.242640687119285	2.5781311243772507	1	1	1	0	0	1.0	1.0	1.0	0.9130143474343275	0.0	0.9130143474343275	1.8935676665262	0.0	4.080441152620633	0.0	126959	132739	0.9130143474343275	2.21565595403988	4.69041575982343	3.047503304667771
case_00496	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9480654784903861	0.0006391573888816504	0.758452382792309	0.7452977188952357	0.06651881035203377	2.4	0.6000000000000001	835065	854299	0.9479579297297681	0.9210126015384756	2.8284271247461903	4.157038727775216	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.7807333877788836	0.09636053279329798	0.6245867102231069	2.723894540292149	2.2515830907387655	7.5	6.0	105066	120361	0.6841061629707178	4.788324179925825	13.92838827718412	1.7477062167599797	1	1	1	0	0	1.0	1.0	1.0	0.6391985537812594	0.0	0.6391985537812594	9.613633251612079	0.0	15.0	0.0	96272	116144	0.6391985537812594	12.603381128551614	14.966629547095765	2.1677918937057257
case_00497	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.964373300971578	0.0007165413459870318	0.7714986407772625	0.6150842182660421	0.008743355518488372	1.7616843969807041	0.0383156030192956	700137	699389	0.9644079495486328	0.7237476302341928	2.0	2.6300686299800873	1	1	1	0	0	1.0	1.0	1.0	0.7963442403069341	0.0	0.7963442403069341	1.6095117719794	0.0	5.06458290484024	0.0	17108	14951	0.7963442403069341	1.8660960233532937	6.782329983125268	0.38624691497534513	1	1	1	0	0	1.0	1.0	1.0	0.819079386257505	0.0	0.819079386257505	1.4013260553262938	0.0	4.5	0.0	15029	14951	0.819079386257505	1.5199312262262907	4.358898943540674	0.4820112753659487
case_00498	2	2	2	0	0	1.0	1.0	1.0	0.9234010239891488	0.03918263508605624	0.9234010239891488	1.4069123510123167	0.6725133167643594	6.734828843967871	4.4698785133866465	852229	950061	0.9278895183350071	1.7147003396352685	7.54983443527075	5.086156703531742	1	2	1	1	0	0.5	1.0	0.6666666666666666	0.5312518068806014	0.0	0.3541678712537342	4.368601109728763	0.0	16.486357996840905	0.0	16366	36056	0.5258097745221472	9.045270984446578	29.068883707497267	2.49052023794502	1	1	1	0	0	1.0	1.0	1.0	0.5181301375124837	0.0	0.5181301375124837	6.333852102076337	0.0	18.054417060662164	0.0	16012	36056	0.5181301375124837	9.123776421931337	29.257477676655586	2.8401488726958632
case_00499	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.9564229903554704	0.0026331300920496292	0.7651383922843764	0.6731519777511986	0.004480138445352888	1.8973665961010273	0.0	1784980	1819239	0.9567648358770652	0.7855218518422424	2.0	9.355583156459033	18	18	14	4	4	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.7766088940303079	0.12821969275300232	0.6040291398013505	1.7976543840363708	1.5364147103901593	8.187915642811939	9.967624579142322	540310	619007	0.8779583151113974	1.6042953470661885	6.164414002968976	7.531750006601214	1	1	1	0	0	1.0	1.0	1.0	0.5217427165664941	0.0	0.5217427165664941	26.948188824896334	0.0	106.55871620848292	0.0	372183	185521	0.5217427165664941	30.236011712220776	130.52202879207786	8.721795881167054
case_00500	7	3	2	1	5	0.6666666666666666	0.2857142857142857	0.4	0.6836907147906542	0.09280459698552834	0.2734762859162617	3.861839096895155	0.4622403387164662	18.043837062473983	3.0438370624739832	751002	1387724	0.6935222183673831	5.041545536991408	24.515301344262525	8.522834318690002	1	4	1	3	0	0.25	1.0	0.4	0.8180449200602352	0.0	0.3272179680240941	1.3877154980631015	0.0	4.5	0.0	15526	16218	0.8043094758064516	8.502536945693167	7.280109889280518	3.5275341318920255	1	1	1	0	0	1.0	1.0	1.0	0.803407350689127	0.0	0.803407350689127	5.264966480955867	0.0	5.307541803886239	0.0	15126	16218	0.803407350689127	6.996706259934115	7.0	4.071315770037472
case_00501	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.6078825221365484	0.29733419455017496	0.4052550147576989	6.776496062673578	5.7642773946957675	31.780143977353532	26.653741730163013	375784	589142	0.7533489614747659	2.9078763470735685	14.317821063276353	6.931279230862856	1	1	1	0	0	1.0	1.0	1.0	0.9152570619115074	0.0	0.9152570619115074	0.5715555494962918	0.0	1.7233687939614086	0.0	18215	17788	0.9152570619115074	0.6868716806520575	2.23606797749979	4.837053349241614	1	1	1	0	0	1.0	1.0	1.0	0.9158061732862034	0.0	0.9158061732862034	0.5704270912090376	0.0	1.7233687939614086	0.0	18141	17788	0.9158061732862034	0.6860828268368033	2.23606797749979	5.482200381346047
case_00502	7	2	2	0	5	1.0	0.2857142857142857	0.4444444444444444	0.9447356925044782	0.001189616793107695	0.4198825300019903	0.7213161077095489	0.004385978735479634	2.6217800320152564	0.6093188522654458	677756	716828	0.9447103939239229	0.9274674867918395	3.0	3.807755363173783	3	1	1	0	2	1.0	0.3333333333333333	0.5	0.6018779342723005	0.0	0.30093896713615026	1.1028607930478764	0.0	3.2310988842807022	0.0	724	5970	0.1915147893636092	27.73647027465879	87.51571287488893	1.4319815579801798	1	0	0	0	1		0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	0	298	0.0	inf	inf	1.5486827045679092
case_00503	4	9	3	6	1	0.3333333333333333	0.75	0.46153846153846156	0.3896966071696745	0.1928600150538499	0.17985997253984978	4.528319294931452	2.3081998056288997	20.738534873968895	11.55664478919561	437299	1204400	0.5223832139752781	6.929767044226065	30.675723300355934	6.728824824094772	9	3	1	2	8	0.3333333333333333	0.1111111111111111	0.16666666666666666	0.7916745745555767	0.0	0.13194576242592942	1.3389365581689763	0.0	3.49857113690718	0.0	13785	74543	0.29662168281858525	23.065614107355923	105.16178012947479	3.741957837715745	1	0	0	0	1		0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	0	19486	0.0	inf	inf	2.8120857421308756
case_00504	4	3	2	1	2	0.6666666666666666	0.5	0.5714285714285714	0.9702166111909123	0.0006377220540003115	0.5544094921090927	0.48631856303317744	0.014838218152538357	1.5	0.0	823404	845344	0.9702231852862145	0.6389155523656844	1.4142135623730951	4.169956320896745	7	5	5	0	2	1.0	0.7142857142857143	0.8333333333333334	0.7909368065626476	0.08014422460210541	0.6591140054688731	0.8910410480382026	0.4349099517387164	2.377926934385646	1.2431667204053054	22640	25291	0.8087041789238697	3.9629768081786896	42.720018726587654	2.244582489132881	1	1	1	0	0	1.0	1.0	1.0	0.36574585635359114	0.0	0.36574585635359114	55.58831961250869	0.0	160.23819769330908	0.0	19320	7830	0.36574585635359114	90.89252595798304	265.0150939097621	2.7633200781419873
case_00505	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.9130137623347421	0.03514397505849881	0.6086758415564947	1.0388354128048396	0.3089921180959112	5.600060032311449	2.2459580660617635	699067	816682	0.9116707317636363	1.4709264000716546	7.874007874011811	5.120332666672766	7	5	5	0	2	1.0	0.7142857142857143	0.8333333333333334	0.45519141260756724	0.27389278204590345	0.37932617717297273	1.0637495365537564	0.5973216120447017	3.10493102530981	1.4841961491861813	6083	9217	0.7303267973856209	2.10324623964972	7.0710678118654755	2.5867058346047997	1	1	1	0	0	1.0	1.0	1.0	0.8089542589300145	0.0	0.8089542589300145	0.8545068361532713	0.0	3.0	0.0	5471	6903	0.8089542589300145	1.108697331954187	4.123105625617661	2.4466469502076507
case_00506	2	3	2	1	0	0.6666666666666666	1.0	0.8	0.8401452617367522	0.06514169644436424	0.6721162093894018	2.3629734577767723	0.789817198317206	10.152433104425032	1.1524331044250316	609066	818921	0.8381140724670463	2.482073570352483	9.899494936611665	3.736778762191534	2	2	1	1	1	0.5	0.5	0.5	0.7974655888136334	0.0	0.3987327944068167	0.9945950818120028	0.0	3.0	0.0	4383	16398	0.3558057841297339	5.868895255269658	25.573423705088842	1.0568237230181694	1	1	1	0	0	1.0	1.0	1.0	0.007693622841511369	0.0	0.007693622841511369	57.786826676081134	0.0	17.0689184382682	0.0	118	11580	0.007693622841511369	93.97903894956139	28.0178514522438	1.2190700583159924
case_00507	2	2	2	0	0	1.0	1.0	1.0	0.9575850550346503	0.003520233760425595	0.9575850550346503	0.6677171822844841	0.11097313036770384	1.9793121724561737	0.3637627303158226	826837	830056	0.957231396354502	0.7565609884997733	2.0	5.535701340064406	2	2	2	0	0	1.0	1.0	1.0	0.8500819028046054	0.019121391465843518	0.8500819028046054	1.5525114150301598	0.666801976096173	4.494687673171382	1.862198356953745	97383	107809	0.8372743576747631	2.145999281956766	7.280109889280518	2.5682436414062977	1	1	1	0	0	1.0	1.0	1.0	0.8249872947961849	0.0	0.8249872947961849	2.258266540623806	0.0	6.6	0.0	80189	89033	0.8249872947961849	2.542675907650696	9.055385138137417	2.616015841253102
case_00508	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.945061306399281	0.004931402207479507	0.630040870932854	0.6808155866174854	0.0634317856179345	2.1486832980505137	0.2513167019494863	570474	592023	0.9444944804158635	0.8060165909047017	2.23606797749979	3.8737772926688194	9	10	5	5	4	0.5	0.5555555555555556	0.5263157894736842	0.6122017075472714	0.09654073036083227	0.3222114250248797	1.7562406517980182	1.0908001475945324	6.067466659951178	5.8039237155057215	26224	156025	0.271354026633891	8.00968471095684	32.69556544854363	2.5749015668407083	1	1	1	0	0	1.0	1.0	1.0	0.024495613058388634	0.0	0.024495613058388634	38.70195173777005	0.0	158.06534249377668	0.0	1375	110890	0.024495613058388634	61.557024410132996	262.8845754283714	2.2665167348459363
case_00509	3	5	0	5	3	0.0	0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	32185	1158036	0.054000055451886665	20.65998738142912	87.25823743349392	5.656249271705747	3	0	0	0	3		0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	0	25663	0.0	inf	inf	3.417311180382967	1	0	0	0	1		0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	0	23534	0.0	inf	inf	3.8797209886834025
case_00510	5	3	2	1	3	0.6666666666666666	0.4	0.5	0.9755361339466742	0.004391773471273119	0.4877680669733371	0.4566678273807045	0.06094205134431768	1.4785951143201124	0.13695432782023864	1037489	1047644	0.9747982502794785	0.5996552616742215	1.7320508075688772	6.696006719954312	3	2	1	1	2	0.5	0.3333333333333333	0.4	0.7755305353378465	0.0	0.31021221413513866	4.44936677986994	0.0	22.017220328130477	0.0	186457	289984	0.7756973056474988	4.95112563478113	24.21053377462294	4.188752545043826	1	1	1	0	0	1.0	1.0	1.0	0.7724072581336717	0.0	0.7724072581336717	4.5054655960250685	0.0	20.955380536292537	0.0	181719	284737	0.7724072581336717	5.548027691674594	27.164314265070562	4.57218331284821
case_00511	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.9581057284843553	0.003043686057444706	0.6387371523229035	0.598725594856458	0.06549113500969822	1.65	0.1499999999999999	933455	935473	0.9415354684610643	3.2665518173080375	2.8284271247461903	7.802711591124535	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.5448354938446872	0.23650561402703285	0.36322366256312477	1.5737226320166473	0.5274608489077546	3.3818613628101906	0.6985797898104427	27283	10926	0.33510429479965453	34.725186089562555	106.59760784818292	3.4849273059517145	1	1	1	0	0	1.0	1.0	1.0	0.3352125380538956	0.0	0.3352125380538956	33.695398379941246	0.0	96.8356132533918	0.0	26591	8885	0.3352125380538956	40.60757545036419	118.12874321772843	4.073575326241553
case_00512	2	2	2	0	0	1.0	1.0	1.0	0.9200940621993526	0.021036897194214865	0.9200940621993526	1.0442579633245672	0.3131387597729324	4.181492126867408	1.2268347863285762	526307	597106	0.9203560934402575	1.1688867157125857	4.123105625617661	3.0680876933038235	2	2	2	0	0	1.0	1.0	1.0	0.8332455369687737	0.01048485088110701	0.8332455369687737	0.9829537225434113	0.1417336073039459	2.581665382639197	0.41833461736080335	17905	23740	0.8307840076839956	1.1149880967151116	3.0	1.6243584426119924	1	1	1	0	0	1.0	1.0	1.0	0.8204548114053907	0.0	0.8204548114053907	1.1363179544240036	0.0	3.0	0.0	10845	14792	0.8204548114053907	1.2639198149441608	3.0	1.5143931014463305
case_00513	2	4	2	2	0	0.5	1.0	0.6666666666666666	0.9690759207078246	2.4545751440785413e-05	0.6460506138052163	0.386859143403214	0.016146262643164155	1.420820393249937	0.07917960675006308	1002767	767251	0.8362626820744196	14.7840875737065	125.51493934986385	9.393495984375477	4	4	3	1	1	0.75	0.75	0.75	0.8102956282949498	0.059954766330564416	0.6077217212212124	1.1164147016422248	0.43774311172335184	3.3703525053398624	1.1665007457131416	264128	64806	0.2995676944311017	57.86821238617438	173.6528145250046	5.338532913476229	1	1	1	0	0	1.0	1.0	1.0	0.23812701309662504	0.0	0.23812701309662504	66.36578372073176	0.0	183.47767983149703	0.0	237825	39422	0.23812701309662504	73.30044710272263	223.90824011316673	5.059685656800866
case_00514	3	3	2	1	1	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.8232109321400503	0.13938736778267347	0.5488072880933668	1.8947814809082608	1.3155609769436685	9.251674631907106	7.554618357059391	653366	857837	0.8461470762035279	2.49048178012213	15.811388300841896	6.381526192650199	6	3	1	2	5	0.3333333333333333	0.16666666666666666	0.2222222222222222	0.7390744397698978	0.0	0.16423876439331062	1.1670607060798985	0.0	4.080441152620633	0.0	4652	25619	0.28595024941363023	17.40723521084913	69.26037828369117	4.20755500998348	1	1	1	0	0	1.0	1.0	1.0	0.0	0.0	0.0	51.234447509786094	0.0	66.75387628173112	0.0	6	8909	0.0	inf	inf	4.208351048640907
case_00515	11	3	0	3	11	0.0	0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	3106	911698	0.006628742331690723	101.24801932187208	373.8678911055532	5.058204974979162	21	2	1	1	20	0.5	0.047619047619047616	0.08695652173913043	0.4884361233480176	0.0	0.04247270637808849	2.391442858014007	0.0	7.312855119553153	0.0	2833	218250	0.025103694087740804	113.97875347681916	381.54292020529533	4.779175633564591	1	1	1	0	0	1.0	1.0	1.0	0.0	0.0	0.0	27.72212603946143	0.0	40.16147191609499	0.0	2797	11155	0.0	inf	inf	2.273814307525754
case_00516	2	2	2	0	0	1.0	1.0	1.0	0.8225671545275306	0.005841417111537017	0.8225671545275306	4.911162992621861	1.3879392316514352	17.188897597867495	7.702064617362355	1317125	1618196	0.8255315176772829	5.216345819228837	17.233687939614086	4.246565298177302	3	2	2	0	1	1.0	0.6666666666666666	0.8	0.8357492837792002	0.02120939936195365	0.6685994270233602	4.78812640516534	2.2264092363710386	16.97598906787694	10.02401093212306	1194642	1492642	0.8230838273885455	5.281010279135677	18.027756377319946	4.067133706994355	1	1	1	0	0	1.0	1.0	1.0	0.8201183409828097	0.0	0.8201183409828097	5.842336913501496	0.0	24.319621606194676	0.0	1181833	1492642	0.8201183409828097	5.359407831659974	18.110770276274835	4.322899050079286
case_00517	2	8	2	6	0	0.25	1.0	0.4	0.2794967077588467	0.1159468069868978	0.11179868310353869	12.304023373847972	4.007211604719084	51.2679012932615	13.225819331307836	188565	928608	0.2792799324724103	25.383468418842867	84.06812689369849	9.513922828249633	1	2	0	2	1	0.0	0.0	0.0	0.0	nan	0.0	inf	nan	inf	nan	19584	85858	0.0	inf	inf	2.8818692909553647	1	1	1	0	0	1.0	1.0	1.0	0.0	0.0	0.0	123.19408140047933	0.0	149.0732420657016	0.0	1197	85858	0.0	inf	inf	3.8337213089689612
